name,raw,stochastic_detrend,deterministic_detrend
H2O,False,True,False
Carbon dioxide CO2,False,True,False
Ammonia NH3,False,True,False
2-Amino-2-methylpropanol C4H11NO,False,True,False
Piperazine C4H10N2,False,True,False
Oxygen,False,True,False
PI-2,False,True,False
TI-2,False,True,False
FI-2,False,True,False
PI-3,False,True,False
TI-3,False,True,False
CO2-3,False,True,False
O2-3,False,True,False
TI-32,False,True,False
TI-33,False,True,False
TI-34,False,True,False
TI-35,False,True,False
PI-4,False,True,False
TI-4,False,True,False
FI-4,False,True,False
CO2-4,False,True,False
NH3-4,False,True,False
FI-11,False,True,False
TI-12,False,True,False
TI-13,False,True,False
FI-20,False,True,False
FI-211,False,True,False
TI-211,False,True,False
TI-8,False,True,False
TI-9,False,True,False
TI-5,False,True,False
TI-7,False,True,False
TI-28,False,True,False
PI-28,False,True,False
PI-30,False,True,False
TI-30,False,True,False
FI-30,False,True,False
FI-38,False,True,False
PI-38,False,True,False
FI-36,False,True,False
TI-36,False,True,False
Reboiler duty,False,True,False
FI-19,False,True,False
TI-19,False,True,False
PI-1,False,True,False
TI-1,False,True,False
FI-35,False,True,False
TI-39,False,True,False
FI-23,False,True,False
TI-22,False,True,False
Level Desorber,False,True,False
Level Reboiler,False,True,False
TI-24,False,True,False
TI-25,False,True,False
FI-25,False,True,False
FI-16,False,True,False
TI-16,False,True,False
FI-151,False,True,False
TI-151,False,True,False
TI-152,False,True,False
TI-212,False,True,False
FI-241,False,True,False
TI-241,False,True,False
TI-242,False,True,False
valve-position-12,False,True,False
TI-1213,False,True,False
